,state,x,y
0,Andhra Pradesh,-76.0,-143.0
1,Arunachal Pradesh,175.0,84.0
2,Assam,139.0,45.0
3,Bihar,45.0,37.0
4,Chhattisgarh,-23.0,-31.0
5,Goa,-142.0,-140.0
6,Gujarat,-216.0,3.0
7,Haryana,-117.0,105.0
8,Himachal Pradesh,-96.0,160.0
9,Jammu And Kashmir,-132.0,210.0
10,Jharkhand,31.0,0.0
11,Karnataka,-126.0,-161.0
12,Kerala,-118.0,-215.0
13,Madhya Pradesh,-116.0,-5.0
14,Maharashtra,-148.0,-72.0
15,Manipur,181.0,18.0
16,Meghalaya,126.0,30.0
17,Mizoram,170.0,-15.0
18,Nagaland,192.0,45.0
19,Odisha,4.0,-57.0
20,Punjab,-137.0,133.0
21,Rajasthan,-160.0,69.0
22,Sikkim,101.0,82.0
23,Tamil Nadu,-88.0,-213.0
24,Telangana,-77.0,-97.0
25,Tripura,133.0,6.0
26,Uttar Pradesh,-50.0,56.0
27,Uttarakhand,-72.0,131.0
28,West Bengal,62.0,-13.0
29,Andaman And Nicobar,165.0,-219.0
30,Chandigarh,-93.0,137.0
31,Dadra And Nagar Haveli,-153.0,-55.0
32,Daman And Diu,-158.0,-50.0
33,Lakshadweep,-161.0,-246.0
34,Delhi,-85.0,95.0
35,Puducherry,-43.0,-196.0
